"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 23 22:08:44 GMT 2022","Mon May 23 22:08:51 GMT 2022","7739","Multi Browser Test","Firefox Test","runners.RunnerTest","runners.RunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Mon May 23 22:08:52 GMT 2022","Mon May 23 22:08:54 GMT 2022","2399","Multi Browser Test","Chrome Test","runners.RunnerTest","runners.RunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Mon May 23 22:08:54 GMT 2022","Mon May 23 22:08:56 GMT 2022","2181","Multi Browser Test","Edge Test","runners.RunnerTest","runners.RunnerTest","runScenario","Runs Cucumber Scenarios",""
