"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 23 22:15:54 GMT 2022","Mon May 23 22:16:01 GMT 2022","7022","Multi Browser Test","Firefox Test","runners.RunnerTest","runners.RunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Mon May 23 22:16:02 GMT 2022","Mon May 23 22:16:04 GMT 2022","2327","Multi Browser Test","Chrome Test","runners.RunnerTest","runners.RunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Mon May 23 22:16:04 GMT 2022","Mon May 23 22:16:06 GMT 2022","2274","Multi Browser Test","Edge Test","runners.RunnerTest","runners.RunnerTest","runScenario","Runs Cucumber Scenarios",""
