"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 23 22:52:22 GMT 2022","Mon May 23 22:52:32 GMT 2022","9785","Multi Browser Test","Firefox Test","runners.RunnerTest","runners.RunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Mon May 23 22:52:32 GMT 2022","Mon May 23 22:52:35 GMT 2022","3257","Multi Browser Test","Chrome Test","runners.RunnerTest","runners.RunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Mon May 23 22:52:35 GMT 2022","Mon May 23 22:52:39 GMT 2022","3668","Multi Browser Test","Edge Test","runners.RunnerTest","runners.RunnerTest","runScenario","Runs Cucumber Scenarios",""
